etath,etaiso,triang,coreradius,bt,bscfmax,rmajor,coe,capcost
0.38263,0.82589,0.4882,0.70161,4.0111,0.92582,5.5012,504.13,13427.0
0.38265,0.76548,0.49088,0.72989,3.8055,0.97209,5.9583,599.99,16101.0
0.38266,0.78833,0.50832,0.75597,3.9863,0.9871,5.6181,527.75,14071.0
0.38282,0.76396,0.52885,0.72852,3.7403,0.92562,6.0705,626.01,16825.0
0.38288,0.71014,0.58756,0.77718,3.6736,0.94536,6.045,618.99,16653.0
0.38292,0.71155,0.51769,0.7064,3.8174,0.89764,5.8798,582.24,15609.0
0.38297,0.84271,0.52467,0.73453,3.6322,0.96833,6.4924,734.26,19812.0
0.38298,0.73986,0.59902,0.74626,3.6385,0.95028,6.1526,644.73,17369.0
0.38298,0.7248,0.58715,0.72673,3.9617,0.93865,5.5821,520.61,13867.0
0.38315,0.65814,0.45218,0.77653,3.7227,0.98326,6.267,674.44,18166.0
0.38318,0.6705,0.45275,0.75808,3.7798,0.92118,6.1537,646.59,17385.0
0.38344,0.67435,0.48695,0.70808,3.7013,0.95005,6.3531,697.1,18781.0
0.38352,0.92824,0.54576,0.78892,3.692,0.88063,6.1208,637.61,17156.0
0.38354,0.82957,0.51777,0.76869,4.0619,0.9779,5.4734,499.49,13279.0
0.38359,0.85692,0.4281,0.74474,3.7874,0.89788,5.9769,603.47,16218.0
0.38364,0.65104,0.5167,0.74982,3.6212,0.96805,6.5198,741.61,20020.0
0.38365,0.91709,0.46557,0.70444,4.0781,0.95828,5.4353,491.86,13078.0
0.38374,0.90624,0.59855,0.71994,3.7659,0.97812,6.0694,626.95,16818.0
0.38375,0.9422,0.58242,0.75053,3.6304,0.88183,6.3693,701.07,18895.0
0.38392,0.87393,0.44658,0.75311,3.9304,0.88572,5.5838,519.34,13875.0
0.38405,0.75859,0.48745,0.71576,3.7026,0.94342,6.3293,690.74,18608.0
0.38414,0.89728,0.56713,0.72177,3.7682,0.98899,6.0842,630.25,16916.0
0.38421,0.80639,0.5236,0.77983,3.8396,0.97028,5.9148,590.71,15827.0
0.38426,0.80815,0.54093,0.71388,3.7345,0.89044,6.0398,618.55,16621.0
0.38438,0.77841,0.48615,0.72217,3.7651,0.90289,6.152,646.17,17371.0
0.38441,0.68261,0.44325,0.70151,3.7631,0.9161,6.0674,624.84,16804.0
0.38443,0.66789,0.45394,0.79591,3.8351,0.88251,5.877,581.32,15591.0
0.38449,0.73982,0.59147,0.78357,3.7983,0.98738,5.8406,573.72,15365.0
0.38449,0.87893,0.53895,0.7007,3.8069,0.94296,5.8803,582.26,15610.0
0.38451,0.76509,0.58461,0.79811,4.089,0.96842,5.1083,432.88,11457.0
0.38456,0.70299,0.56596,0.77926,3.6359,0.93954,6.2499,669.43,18039.0
0.38476,0.72592,0.50486,0.76286,3.9126,0.94926,5.7497,554.59,14825.0
0.38476,0.6815,0.48801,0.71855,3.8732,0.98979,5.9059,588.86,15773.0
0.38481,0.78404,0.46312,0.76847,3.8664,0.9792,5.7267,548.54,14688.0
0.38482,0.90707,0.42259,0.72561,3.9912,0.97332,5.6002,523.39,13969.0
0.38493,0.79465,0.48674,0.7494,4.0438,0.9584,5.4377,491.97,13088.0
0.38498,0.91645,0.41489,0.78563,3.6833,0.96972,6.1422,641.48,17299.0
0.38553,0.80632,0.4197,0.76972,3.6534,0.89506,6.1856,651.79,17593.0
0.38558,0.79291,0.59277,0.79414,3.8302,0.97745,5.7527,554.73,14837.0
0.38559,0.87411,0.54778,0.7371,3.8385,0.8802,5.7171,546.49,14629.0
0.38572,0.85074,0.56401,0.78274,3.7134,0.94612,5.9011,585.47,15733.0
0.38576,0.91246,0.57639,0.77772,3.9004,0.9029,5.6825,540.51,14431.0
0.38576,0.69389,0.59241,0.74253,3.9032,0.97051,5.5516,513.31,13693.0
0.38584,0.85241,0.55136,0.77922,4.0375,0.94935,5.2623,459.23,12191.0
0.38586,0.82208,0.42357,0.73004,3.8306,0.9396,5.8407,572.74,15367.0
0.38589,0.67801,0.52585,0.79181,3.6944,0.88873,6.0979,631.75,17001.0
0.38591,0.65949,0.43088,0.76976,3.7393,0.88081,5.9587,598.3,16097.0
0.38602,0.78118,0.42629,0.79024,3.8633,0.94553,5.8175,568.1,15227.0
0.38607,0.78862,0.45257,0.71515,3.7965,0.97291,5.9783,604.09,16225.0
0.38614,0.88808,0.55663,0.7251,3.6524,0.98426,6.2895,679.94,18319.0
0.38619,0.82589,0.5172,0.73652,3.7642,0.91553,6.0366,618.03,16600.0
0.38621,0.77957,0.41925,0.7586,3.74,0.91718,6.1423,642.6,17302.0
0.38621,0.65757,0.5169,0.78049,3.9669,0.96302,5.6385,531.68,14182.0
0.38631,0.90972,0.51912,0.76651,3.9448,0.90255,5.657,535.25,14286.0
0.38637,0.7213,0.44541,0.75028,4.0768,0.97619,5.2844,463.09,12303.0
0.38646,0.87258,0.4851,0.7882,4.0274,0.91287,5.282,462.21,12288.0
0.38649,0.73125,0.55347,0.74251,3.7775,0.9682,5.8032,564.22,15136.0
0.38656,0.65897,0.53026,0.75017,3.9934,0.95054,5.3895,482.17,12832.0
0.38657,0.77744,0.48686,0.77754,4.0016,0.94043,5.4811,499.85,13315.0
0.38664,0.69209,0.48143,0.76388,3.6943,0.91693,6.2264,663.57,17876.0
0.38668,0.86725,0.59713,0.79646,3.8138,0.93206,5.6259,527.19,14102.0
0.38688,0.90424,0.40788,0.76963,3.8632,0.92088,5.8629,578.15,15503.0
0.38711,0.74909,0.43388,0.78403,3.9855,0.88471,5.5898,521.17,13909.0
0.38713,0.82636,0.57044,0.74584,3.632,0.88281,6.4153,713.36,19229.0
0.38717,0.74271,0.59572,0.72825,3.623,0.89862,6.1754,649.96,17519.0
0.38719,0.68189,0.49567,0.7167,3.7493,0.96831,6.0438,619.25,16645.0
0.38725,0.65043,0.59174,0.76119,4.0958,0.89971,5.2131,451.38,11951.0
0.38727,0.88388,0.49046,0.77576,3.6829,0.90783,6.3201,687.87,18538.0
0.38734,0.85482,0.51121,0.71961,3.8703,0.90737,5.775,559.44,14970.0
0.38739,0.88708,0.42209,0.74675,3.8619,0.90275,5.8691,579.63,15541.0
0.38749,0.83026,0.50499,0.74562,3.9796,0.92836,5.5501,513.47,13688.0
0.3875,0.87662,0.41211,0.70276,3.8519,0.98333,5.7551,553.69,14852.0
0.38751,0.92989,0.41152,0.7101,3.68,0.88775,6.1653,646.88,17454.0
0.38762,0.87058,0.42521,0.7894,3.6226,0.93775,6.276,674.38,18220.0
0.38762,0.74922,0.42317,0.74301,3.6549,0.92147,6.5271,743.34,20074.0
0.38762,0.84477,0.43547,0.72942,4.0212,0.94122,5.3965,483.23,12869.0
0.38767,0.74182,0.59945,0.76456,3.781,0.96698,5.8898,584.6,15664.0
0.38767,0.6516,0.53398,0.79819,3.717,0.91917,6.1596,647.54,17416.0
0.38777,0.76016,0.47736,0.7218,3.9907,0.88001,5.4682,497.06,13245.0
0.38792,0.94261,0.5125,0.75575,3.8493,0.89831,5.6438,530.67,14205.0
0.38802,0.73224,0.46426,0.74147,3.8787,0.91894,5.7734,558.82,14961.0
