aspect,outlet_temp,beta,etanbi,capcost
1.9666015625,928.05859375,0.16546875,0.301171875,4791.3
1.9666015625,1014.77734375,0.11984375,0.301171875,4913.0
1.9666015625,1014.77734375,0.16546875,0.202734375,4830.5
1.9466796875,928.05859375,0.11984375,0.202734375,5215.4
1.9466796875,928.05859375,0.11984375,0.202734375,5233.7
1.9466796875,928.05859375,0.11984375,0.202734375,5232.4
1.9466796875,928.05859375,0.11984375,0.202734375,5213.2
1.9666015625,928.05859375,0.11984375,0.202734375,5169.5
1.9466796875,928.05859375,0.11984375,0.202734375,5373.8
1.9466796875,1014.77734375,0.11984375,0.202734375,5121.0
1.9466796875,928.05859375,0.16546875,0.202734375,4928.3
1.9466796875,928.05859375,0.11984375,0.301171875,5066.2
1.9466796875,928.05859375,0.11984375,0.202734375,5225.7
1.8666015625,864.77734375,0.08546875,0.501171875,6000.4
1.8666015625,864.77734375,0.08546875,0.501171875,6020.2
1.8666015625,864.77734375,0.08546875,0.501171875,6015.8
1.8666015625,864.77734375,0.08546875,0.501171875,5986.4
1.8666015625,864.77734375,0.08546875,0.501171875,6022.7
1.8466796875,864.77734375,0.08546875,0.501171875,6090.6
1.8666015625,864.77734375,0.08546875,0.501171875,6741.6
1.8666015625,1078.05859375,0.08546875,0.501171875,5644.5
1.8666015625,864.77734375,0.19984375,0.501171875,4955.6
1.8666015625,864.77734375,0.08546875,0.402734375,6080.9
1.8466796875,1078.05859375,0.19984375,0.402734375,4957.1
1.8466796875,1078.05859375,0.19984375,0.402734375,4957.1
1.8466796875,1078.05859375,0.19984375,0.402734375,4959.8
1.8466796875,1078.05859375,0.19984375,0.402734375,4953.0
1.8666015625,1078.05859375,0.19984375,0.402734375,4894.0
1.8466796875,1078.05859375,0.19984375,0.402734375,4958.3
1.8466796875,864.77734375,0.19984375,0.402734375,5056.0
1.8466796875,1078.05859375,0.08546875,0.402734375,6026.7
1.8466796875,1078.05859375,0.19984375,0.501171875,4933.5
1.8466796875,1078.05859375,0.19984375,0.402734375,4958.3
1.9791015625,1071.02734375,0.05546875,0.426171875,9142.6
1.9791015625,1071.02734375,0.05546875,0.426171875,8644.2
1.9791015625,1071.02734375,0.05546875,0.426171875,9105.9
1.9791015625,1071.02734375,0.05546875,0.426171875,8916.2
1.9791015625,1071.02734375,0.05546875,0.426171875,9031.8
1.9791015625,1071.02734375,0.05546875,0.426171875,10341.0
1.9791015625,1071.02734375,0.05546875,0.3777343749999999,9340.7
1.9341796875,834.30859375,0.04984375,0.3777343749999999,14881.0
1.9341796875,834.30859375,0.04984375,0.3777343749999999,13795.0
1.9341796875,834.30859375,0.04984375,0.3777343749999999,14164.0
1.9341796875,834.30859375,0.04984375,0.3777343749999999,13909.0
