run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
85,4961.9,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.85078125,4.05078125,1014.484375,0.179375,0.5921875
86,4793.8,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.90546875,3.90234375,1014.484375,0.179375,0.5921875
87,4881.7,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.90546875,4.05078125,834.015625,0.179375,0.5921875
88,4770.6,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.90546875,4.05078125,1014.484375,0.19062500000000002,0.5921875
89,4811.9,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.90546875,4.05078125,1014.484375,0.179375,0.4921875
90,5047.3,0.92734375,4.26953125e-05,41.58203125,1.0765625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.4921875
91,5046.9,0.93828125,2.86328125e-05,41.58203125,1.0765625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.4921875
92,5046.2,0.93828125,4.26953125e-05,42.94921875,1.0765625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.4921875
93,5044.5,0.93828125,4.26953125e-05,41.58203125,1.1265625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.4921875
94,4876.9,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.90546875,3.90234375,834.015625,0.19062500000000002,0.4921875
95,5046.3,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.85078125,4.05078125,834.015625,0.19062500000000002,0.4921875
96,4956.5,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.85078125,3.90234375,1014.484375,0.19062500000000002,0.4921875
97,5073.3,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.85078125,3.90234375,834.015625,0.179375,0.4921875
98,5026.3,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.5921875
99,5046.3,0.93828125,4.26953125e-05,41.58203125,1.0765625,1.85078125,3.90234375,834.015625,0.19062500000000002,0.4921875
100,6520.5,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,3.55078125,864.484375,0.099375,0.3921875
101,6501.0,1.03828125,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,3.55078125,864.484375,0.099375,0.3921875
102,6511.4,1.02734375,8.76953125e-05,30.44921875,0.9265625,1.80546875,3.55078125,864.484375,0.099375,0.3921875
103,6523.9,1.02734375,7.363281250000001e-05,29.08203125,0.9265625,1.80546875,3.55078125,864.484375,0.099375,0.3921875
104,6536.9,1.02734375,7.363281250000001e-05,30.44921875,0.8765625,1.80546875,3.55078125,864.484375,0.099375,0.3921875
105,7205.1,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.95078125,3.55078125,864.484375,0.099375,0.3921875
106,5907.5,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,4.40234375,864.484375,0.099375,0.3921875
107,6041.9,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,3.55078125,984.015625,0.099375,0.3921875
108,5881.5,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,3.55078125,864.484375,0.110625,0.3921875
109,6801.6,1.02734375,7.363281250000001e-05,30.44921875,0.9265625,1.80546875,3.55078125,864.484375,0.099375,0.2921875
110,5096.9,1.02734375,8.76953125e-05,29.08203125,0.8765625,1.95078125,4.40234375,984.015625,0.110625,0.2921875
111,5095.1,1.03828125,7.363281250000001e-05,29.08203125,0.8765625,1.95078125,4.40234375,984.015625,0.110625,0.2921875
112,5092.8,1.03828125,8.76953125e-05,30.44921875,0.8765625,1.95078125,4.40234375,984.015625,0.110625,0.2921875
113,5089.7,1.03828125,8.76953125e-05,29.08203125,0.9265625,1.95078125,4.40234375,984.015625,0.110625,0.2921875
114,5600.0,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.80546875,4.40234375,984.015625,0.110625,0.2921875
115,6134.3,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.95078125,3.55078125,984.015625,0.110625,0.2921875
116,5247.9,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.95078125,4.40234375,864.484375,0.110625,0.2921875
117,5279.1,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.95078125,4.40234375,984.015625,0.099375,0.2921875
118,5008.3,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.95078125,4.40234375,984.015625,0.110625,0.3921875
119,5093.2,1.03828125,8.76953125e-05,29.08203125,0.8765625,1.95078125,4.40234375,984.015625,0.110625,0.2921875
120,9811.6,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,3.80078125,1089.484375,0.059375,0.2921875
121,9767.1,0.98828125,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,3.80078125,1089.484375,0.059375,0.2921875
122,9794.1,0.97734375,6.51953125e-05,36.69921875,1.0265625,1.85546875,3.80078125,1089.484375,0.059375,0.2921875
123,9940.9,0.97734375,5.1132812500000004e-05,22.83203125,1.0265625,1.85546875,3.80078125,1089.484375,0.059375,0.2921875
124,9709.0,0.97734375,5.1132812500000004e-05,36.69921875,1.1765625,1.85546875,3.80078125,1089.484375,0.059375,0.2921875
125,9283.2,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.80078125,3.80078125,1089.484375,0.059375,0.2921875
126,7875.5,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,4.15234375,1089.484375,0.059375,0.2921875
127,11484.0,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,3.80078125,909.015625,0.059375,0.2921875
128,7811.0,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,3.80078125,1089.484375,0.070625,0.2921875
129,8801.9,0.97734375,5.1132812500000004e-05,36.69921875,1.0265625,1.85546875,3.80078125,1089.484375,0.059375,0.5921875
130,6663.9,0.97734375,6.51953125e-05,22.83203125,1.1765625,1.80078125,4.15234375,909.015625,0.070625,0.5921875
131,6659.0,0.98828125,5.1132812500000004e-05,22.83203125,1.1765625,1.80078125,4.15234375,909.015625,0.070625,0.5921875
132,6636.4,0.98828125,6.51953125e-05,36.69921875,1.1765625,1.80078125,4.15234375,909.015625,0.070625,0.5921875
133,6678.7,0.98828125,6.51953125e-05,22.83203125,1.0265625,1.80078125,4.15234375,909.015625,0.070625,0.5921875
134,6592.9,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.85546875,4.15234375,909.015625,0.070625,0.5921875
135,7622.2,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.80078125,3.80078125,909.015625,0.070625,0.5921875
136,6320.7,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.80078125,4.15234375,1089.484375,0.070625,0.5921875
137,7689.2,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.80078125,4.15234375,909.015625,0.059375,0.5921875
138,6980.4,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.80078125,4.15234375,909.015625,0.070625,0.2921875
139,6654.1,0.98828125,6.51953125e-05,22.83203125,1.1765625,1.80078125,4.15234375,909.015625,0.070625,0.5921875
140,4832.5,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,939.484375,0.139375,0.4921875
141,4830.9,0.88828125,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,939.484375,0.139375,0.4921875
142,4836.2,0.87734375,2.0195312500000004e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,939.484375,0.139375,0.4921875
143,4830.5,0.87734375,9.61328125e-05,35.33203125,0.8265625000000001,1.95546875,4.30078125,939.484375,0.139375,0.4921875
144,4825.9,0.87734375,9.61328125e-05,24.19921875,0.9765625,1.95546875,4.30078125,939.484375,0.139375,0.4921875
145,4987.4,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.90078125,4.30078125,939.484375,0.139375,0.4921875
146,4852.1,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,3.65234375,939.484375,0.139375,0.4921875
147,4779.8,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,1059.015625,0.139375,0.4921875
148,4797.4,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,939.484375,0.150625,0.4921875
149,4862.3,0.87734375,9.61328125e-05,24.19921875,0.8265625000000001,1.95546875,4.30078125,939.484375,0.139375,0.3921875
150,4920.3,0.87734375,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,3.65234375,1059.015625,0.150625,0.3921875
151,4916.3,0.88828125,9.61328125e-05,35.33203125,0.9765625,1.90078125,3.65234375,1059.015625,0.150625,0.3921875
152,4921.1,0.88828125,2.0195312500000004e-05,24.19921875,0.9765625,1.90078125,3.65234375,1059.015625,0.150625,0.3921875
153,4925.7,0.88828125,2.0195312500000004e-05,35.33203125,0.8265625000000001,1.90078125,3.65234375,1059.015625,0.150625,0.3921875
154,4767.7,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.95546875,3.65234375,1059.015625,0.150625,0.3921875
155,4919.1,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,4.30078125,1059.015625,0.150625,0.3921875
156,4973.1,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,3.65234375,939.484375,0.150625,0.3921875
157,4954.8,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,3.65234375,1059.015625,0.139375,0.3921875
158,4891.2,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,3.65234375,1059.015625,0.150625,0.4921875
159,4919.1,0.88828125,2.0195312500000004e-05,35.33203125,0.9765625,1.90078125,3.65234375,1059.015625,0.150625,0.3921875
160,4877.0,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.48828125,995.734375,0.169375,0.5671875
161,4872.1,0.95078125,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.48828125,995.734375,0.169375,0.5671875
162,4876.9,0.88984375,1.4570312500000001e-05,38.26171875,0.9015625,1.89296875,4.48828125,995.734375,0.169375,0.5671875
163,4877.2,0.88984375,1.17578125e-05,36.89453125,0.9015625,1.89296875,4.48828125,995.734375,0.169375,0.5671875
164,4879.2,0.88984375,1.17578125e-05,38.26171875,0.8515625,1.89296875,4.48828125,995.734375,0.169375,0.5671875
165,5144.9,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.81328125,4.48828125,995.734375,0.169375,0.5671875
166,4877.0,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.33984375,995.734375,0.169375,0.5671875
167,4950.4,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.48828125,852.765625,0.169375,0.5671875
168,5795.7,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.48828125,995.734375,0.080625,0.5671875
169,4911.5,0.88984375,1.17578125e-05,38.26171875,0.9015625,1.89296875,4.48828125,995.734375,0.169375,0.4171875
170,6610.2,0.88984375,1.4570312500000001e-05,36.89453125,0.8515625,1.81328125,4.33984375,852.765625,0.080625,0.4171875
171,6524.6,0.95078125,1.17578125e-05,36.89453125,0.8515625,1.81328125,4.33984375,852.765625,0.080625,0.4171875
172,6521.1,0.95078125,1.4570312500000001e-05,38.26171875,0.8515625,1.81328125,4.33984375,852.765625,0.080625,0.4171875
173,6513.7,0.95078125,1.4570312500000001e-05,36.89453125,0.9015625,1.81328125,4.33984375,852.765625,0.080625,0.4171875
174,6132.7,0.95078125,1.4570312500000001e-05,36.89453125,0.8515625,1.89296875,4.33984375,852.765625,0.080625,0.4171875
175,6523.5,0.95078125,1.4570312500000001e-05,36.89453125,0.8515625,1.81328125,4.48828125,852.765625,0.080625,0.4171875
