capcost,Q_engineering,high_grade_wasteheat,major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma
4640.39,1.1,342.0,3.783482700586319,1.981179976200454,1.2146050706037754,5.040631122887135
4912.88,1.3,450.0,3.783482700586319,1.83410967776829,1.3280488857616812,5.040631122887135
5273.12,1.4,630.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.746594652344356
4210.05,1.0,308.0,3.530680373311043,2.1240666244087354,1.6259324130713115,5.590502526145428
5067.74,1.3,546.0,3.783482700586319,1.83410967776829,2.487297874684968,5.040631122887135
4351.4,1.1,369.0,3.5200501084327698,2.104345889269923,2.4071923732793765,5.927688059844513
5352.27,1.6,763.0,3.750426445156336,1.83410967776829,1.2146050706037754,5.040631122887135
4954.79,1.3,478.0,3.783482700586319,1.8844912837472685,1.2146050706037754,5.040631122887135
4912.74,1.3,450.0,3.783482700586319,1.83410967776829,1.3478018406665562,5.040631122887135
4925.56,1.1,433.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.27011339366436
5130.11,1.5,607.0,3.783482700586319,1.83410967776829,1.5273542525003556,5.040631122887135
4912.8,1.3,450.0,3.783482700586319,1.83410967776829,1.326197686665886,5.040631122887135
5120.73,1.4,599.0,3.783482700586319,1.83410967776829,1.9482647369762067,5.040631122887135
4121.22,1.0,314.0,3.4223804231733084,1.9450382562922903,2.2570645610200466,4.687977870111354
5046.83,1.1,485.0,3.783482700586319,1.83410967776829,2.445495831347614,5.040631122887135
5155.25,1.5,622.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.82634245371446
5184.7,1.5,645.0,3.783482700586319,1.83410967776829,1.45608154000462,5.040631122887135
5448.76,1.6,718.0,3.89714857772924,1.83410967776829,1.2146050706037754,5.040631122887135
4785.46,1.2,390.0,3.783482700586319,1.83410967776829,2.149090284898054,5.040631122887135
4998.29,1.3,487.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.651061208918691
5337.36,1.5,734.0,3.783482700586319,1.8778920373695944,1.2146050706037754,5.040631122887135
4788.45,1.2,395.0,3.783482700586319,1.83410967776829,2.27107413642387,5.040631122887135
5351.87,1.6,761.0,3.747075035818853,1.83410967776829,1.2146050706037754,5.040631122887135
5405.92,1.3,701.0,3.783482700586319,1.83410967776829,2.3477247695984254,5.040631122887135
4931.61,1.1,432.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.318885002428942
5120.64,1.4,598.0,3.783482700586319,1.83410967776829,1.9506289402023944,5.040631122887135
4912.65,1.3,449.0,3.783482700586319,1.83410967776829,1.3669547277439538,5.040631122887135
5338.47,1.5,695.0,3.783482700586319,1.83410967776829,1.2146050706037754,5.124439188279212
4966.92,1.3,462.0,3.80860320392685,1.83410967776829,1.2146050706037754,5.040631122887135
5129.31,1.5,604.0,3.783482700586319,1.83410967776829,1.5795436935066012,5.040631122887135
4961.63,1.3,483.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.7124473045587365
5130.39,1.5,608.0,3.783482700586319,1.83410967776829,1.503578419875106,5.040631122887135
4393.52,1.2,429.0,3.4590519850899,1.982627010755293,2.3894090224487585,5.416354678943208
4573.33,1.1,326.0,3.783482700586319,2.0149171874116645,1.2146050706037754,5.040631122887135
5397.74,1.3,686.0,3.783482700586319,1.83410967776829,2.3889536904166464,5.040631122887135
5130.28,1.5,607.0,3.783482700586319,1.83410967776829,1.5125831430896337,5.040631122887135
4999.55,1.3,487.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.66230462889871
5449.63,1.6,719.0,3.9002670546469744,1.83410967776829,1.2146050706037754,5.040631122887135
4912.35,1.3,448.0,3.783482700586319,1.83410967776829,1.4224444925569462,5.040631122887135
4963.22,1.2,460.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.449545562267304
4143.52,1.1,344.0,3.3708342196064223,1.9281563530180417,2.28654280050243,4.42859468325878
4643.53,1.0,342.0,3.783482700586319,1.9842615046209304,1.2146050706037754,5.040631122887135
5126.46,1.4,596.0,3.783482700586319,1.83410967776829,1.709438376370056,5.040631122887135
5000.12,1.3,487.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.667048316448927
5307.64,1.2,620.0,3.865466292059864,2.086923577959343,2.3833136351421174,5.83618193899747
4974.69,1.3,484.0,3.783482700586319,1.8760867178999003,1.2146050706037754,5.040631122887135
5127.52,1.4,599.0,3.783482700586319,1.83410967776829,1.6691034799230102,5.040631122887135
4912.35,1.3,448.0,3.783482700586319,1.83410967776829,1.419619636408214,5.040631122887135
5005.02,1.4,514.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.887292052624616
5299.47,1.6,750.0,3.7310890040716913,1.83410967776829,1.2146050706037754,5.040631122887135
5184.8,1.5,645.0,3.783482700586319,1.83410967776829,1.446778172429509,5.040631122887135
4946.07,1.3,502.0,3.783482700586319,1.939078520774408,1.2146050706037754,5.040631122887135
5128.8,1.5,602.0,3.783482700586319,1.83410967776829,1.6086707192616836,5.040631122887135
4788.22,1.2,394.0,3.783482700586319,1.83410967776829,2.258867067628676,5.040631122887135
4753.08,1.0,357.0,3.9124115561135113,2.212779327388569,1.9527442720755368,5.7466825023293495
4778.41,1.1,378.0,3.783482700586319,1.83410967776829,2.050702449141912,5.040631122887135
5604.87,1.5,752.0,3.949953258415917,1.83410967776829,1.2146050706037754,5.040631122887135
5067.48,1.3,545.0,3.783482700586319,1.83410967776829,2.4705840480920984,5.040631122887135
5229.49,1.5,657.0,3.783482700586319,1.83410967776829,1.2146050706037754,5.010221795528196
4597.25,1.3,439.0,3.611848391748936,2.0485504471528837,1.979313449193093,5.809568778640823
5444.68,1.4,626.0,3.95843648272421,1.83410967776829,1.2146050706037754,5.040631122887135
5129.43,1.5,604.0,3.783482700586319,1.83410967776829,1.5743931160144953,5.040631122887135
5447.4,1.4,629.0,3.96510509555992,1.83410967776829,1.2146050706037754,5.040631122887135
4809.07,1.2,417.0,3.783482700586319,1.9358074853373903,1.2146050706037754,5.040631122887135
4787.99,1.2,394.0,3.783482700586319,1.83410967776829,2.2510450332444787,5.040631122887135
4697.12,1.4,540.0,3.5534538570791483,2.0050123564078346,1.9272793040644156,5.578995264251716
5186.12,1.5,642.0,3.783482700586319,1.8465511370667196,1.2146050706037754,5.040631122887135
5130.37,1.5,608.0,3.783482700586319,1.83410967776829,1.5074759330635863,5.040631122887135
