major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,CAPITAL COST 2021 PRICES [million USD]
3.6160249698796134,1.8179191696221066,1.644891510102667,5.689477116868893,5482.16
3.204060742109909,1.9240834595115472,1.644891510102667,5.689477116868893,4501.93
3.204060742109909,1.8179191696221066,1.644891510102667,4.900049726546925,5377.66
3.6160249698796134,1.8179191696221066,1.4628216317611364,4.900049726546925,4409.13
3.6160249698796134,1.9240834595115472,1.4628216317611364,5.689477116868893,6099.05
3.214133975680797,2.2132138336026803,2.0556193564164777,5.464666724032363,3681.08
3.269775475729401,2.2132138336026803,2.0556193564164777,5.464666724032363,3667.06
3.214133975680797,1.83355346835093,2.0556193564164777,5.464666724032363,4245.76
3.214133975680797,2.2132138336026803,1.9811059865696667,5.464666724032363,3302.15
3.269775475729401,2.2132138336026803,1.9811059865696667,4.215691773906664,3000.05
3.269775475729401,1.83355346835093,1.9811059865696667,5.464666724032363,5136.14
3.542822738967687,2.0161748695013686,1.5313861023400284,4.328200501426893,3810.5
3.326472899091634,2.1535826666844686,1.3821264396253639,4.336738927391431,3599.76
3.326472899091634,2.4402621453509203,1.2189520613580827,4.336738927391431,2907.5
3.464956427788756,2.1535826666844686,1.2189520613580827,4.336738927391431,3984.63
3.960534687594588,2.030371295294094,2.241044360269613,4.726276646892302,3710.9
3.5407589531070465,2.030371295294094,2.241044360269613,4.726276646892302,3638.02
3.960534687594588,1.9874131661055012,2.241044360269613,4.726276646892302,5120.52
3.5407589531070465,2.030371295294094,2.4638680219109204,5.847843690796385,4680.24
3.6387808247929345,2.4938896040712404,1.6689730667033778,5.409356460492462,3973.33
3.6387808247929345,1.8786933340500613,1.6689730667033778,5.409356460492462,5033.58
3.6387808247929345,2.4938896040712404,1.5630151083792607,5.409356460492462,3656.47
3.9241704951051712,2.4938896040712404,1.5630151083792607,5.086876793255252,3941.02
3.142611386955034,1.9093082776068404,2.160421742369676,4.611522987867288,4409.41
3.142611386955034,2.2887980587314933,2.1217059822545163,4.611522987867288,2877.1
3.142611386955034,2.2887980587314933,2.160421742369676,4.611522987867288,2871.31
3.1333838873505013,2.178351974735265,2.2884687963235786,4.901324374472493,3177.28
3.1333838873505013,2.176239824994787,2.2884687963235786,4.901324374472493,3167.32
3.1333838873505013,2.178351974735265,1.6212333161199695,4.901324374472493,3783.62
3.1333838873505013,2.178351974735265,2.2884687963235786,4.817658728222533,3234.98
3.1333838873505013,2.176239824994787,1.6212333161199695,4.817658728222533,3530.87
3.632358052725298,2.176239824994787,2.2884687963235786,4.817658728222533,3936.33
3.632358052725298,2.176239824994787,1.6212333161199695,4.901324374472493,4251.54
3.632358052725298,2.176239824994787,1.6212333161199695,4.817658728222533,4240.16
3.660347314173124,2.049712721398692,1.5231490233899567,5.917668415113235,4287.31
3.434065595922118,2.049712721398692,1.5231490233899567,5.917668415113235,3528.43
3.660347314173124,2.049712721398692,2.0615967006023377,5.917668415113235,4711.47
3.660347314173124,2.049712721398692,1.5231490233899567,5.35140604520783,4217.76
3.949921156575818,2.1354011960795507,2.0828677676389766,4.292014143210759,3779.82
3.949921156575818,2.4691214555411234,1.318094663815844,4.292014143210759,3028.6
3.949921156575818,2.1354011960795507,1.318094663815844,5.563642979004418,4113.58
3.050638304477807,2.4691214555411234,1.318094663815844,5.563642979004418,2879.52
3.050638304477807,2.1354011960795507,1.318094663815844,4.292014143210759,2953.83
3.3003095678850625,1.8899680006700588,1.561241415742507,5.067949795482765,4212.98
