,capcost,fdene,boundu(10),fimp(14),pseprmax,boundl(103),cboot,feffcd,etaiso,pinjalw,sig_tf_case_max,aspect,boundu(2),outlet_temp,beta,etanbi,etahtp
712,5388.7,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,663906250.0,1.89453125,3.91015625,798.859375,0.11812500000000001,0.5421875,0.94921875
713,5292.9,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.92109375,3.91015625,798.859375,0.11812500000000001,0.5421875,0.94921875
714,6071.5,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.89453125,3.57421875,798.859375,0.11812500000000001,0.5421875,0.94921875
715,5239.7,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.89453125,3.91015625,873.859375,0.11812500000000001,0.5421875,0.94921875
716,5227.2,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.89453125,3.91015625,798.859375,0.128125,0.5421875,0.94921875
717,5370.0,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.89453125,3.91015625,798.859375,0.11812500000000001,0.5578125,0.94921875
718,5378.1,0.88671875,1.6082812499999999,6.589843750000001e-05,35.33203125,1.116015625,1.332890625,1.0765625,0.78984375,47.7734375,668593750.0,1.89453125,3.91015625,798.859375,0.11812500000000001,0.5421875,0.8351562499999999
719,5243.8,0.97265625,1.56296875,8.628906250000001e-05,42.94921875,0.9800781249999999,1.405546875,0.8734375000000001,0.75859375,51.5234375,663906250.0,1.92109375,3.57421875,873.859375,0.128125,0.5578125,0.8351562499999999
722,4991.6,0.89921875,1.57546875,1.52734375e-05,40.01953125,0.947265625,1.326640625,0.9515625,0.82734375,45.8984375,706093750.0,1.88203125,3.84765625,892.609375,0.18812500000000001,0.2671875,0.78671875
727,4985.7,0.89921875,1.52078125,1.52734375e-05,40.01953125,0.947265625,1.326640625,1.0984375,0.82734375,45.8984375,706093750.0,1.88203125,3.84765625,892.609375,0.18812500000000001,0.2671875,0.78671875
729,5064.3,0.89921875,1.52078125,1.52734375e-05,40.01953125,0.947265625,1.326640625,0.9515625,0.82734375,54.6484375,706093750.0,1.88203125,3.84765625,892.609375,0.18812500000000001,0.2671875,0.78671875
737,11124.0,0.93515625,1.57546875,5.81640625e-05,28.88671875,1.073828125,1.3242968750000002,1.0984375,0.9210937499999999,54.6484375,701406250.0,1.93359375,4.26171875,817.609375,0.058124999999999996,0.2828125,0.82265625
738,4977.5,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
739,4968.8,1.03515625,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
740,4977.5,0.99921875,1.4754687499999999,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
741,4983.8,0.99921875,1.6207812499999998,1.31640625e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
742,4972.9,0.99921875,1.6207812499999998,6.0273437500000004e-05,41.38671875,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
743,4977.5,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,0.923828125,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
744,4978.0,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.374296875,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
745,4996.1,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,0.8984375,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
746,4977.6,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.82109375,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
747,4967.8,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,49.6484375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
748,4988.0,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,641406250.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
749,5453.3,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.8335937500000001,4.34765625,1042.609375,0.108125,0.4671875,0.88671875
750,5305.5,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,3.76171875,1042.609375,0.108125,0.4671875,0.88671875
751,5054.0,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,967.609375,0.108125,0.4671875,0.88671875
752,4714.0,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.138125,0.4671875,0.88671875
753,4970.3,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4828125,0.88671875
754,4977.2,0.99921875,1.6207812499999998,6.0273437500000004e-05,27.51953125,1.097265625,1.376640625,1.1515625,0.9273437499999999,50.8984375,646093750.0,1.98203125,4.34765625,1042.609375,0.108125,0.4671875,0.92265625
755,5181.9,1.03515625,1.4754687499999999,1.31640625e-05,41.38671875,0.923828125,1.374296875,0.8984375,0.82109375,49.6484375,641406250.0,1.8335937500000001,3.76171875,967.609375,0.138125,0.4828125,0.92265625
756,4925.8,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
757,4931.2,0.98515625,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
