run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
7070,4851.9,0.9587890625,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.330078125
7071,4959.1,0.8630859375,6.5458984375e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.330078125
7072,4945.8,0.8630859375,6.370117187500001e-05,38.7255859375,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.330078125
7073,4970.6,0.8630859375,6.370117187500001e-05,30.5712890625,0.969140625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.330078125
7074,4998.4,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9380859375,3.9521484375,1071.61328125,0.11578125,0.330078125
7075,4862.4,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,4.0830078125,1071.61328125,0.11578125,0.330078125
7076,5687.6,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,838.41015625,0.11578125,0.330078125
7077,4716.5,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.14578125,0.330078125
7078,4751.5,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.567578125
7079,4959.8,0.8630859375,6.370117187500001e-05,30.5712890625,1.012890625,1.9900390625,3.9521484375,1071.61328125,0.11578125,0.330078125
7080,4575.9,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.467578125
7081,4579.3,0.9130859375,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.467578125
7082,4575.3,1.0087890625,8.6201171875e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.467578125
7083,4576.4,1.0087890625,4.2958984375e-05,24.3212890625,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.467578125
7084,4580.4,1.0087890625,4.2958984375e-05,32.4755859375,0.9128906250000001,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.467578125
7085,4989.1,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.8400390625,4.3330078125,1063.41015625,0.18578125,0.467578125
7086,4575.9,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,3.7021484375,1063.41015625,0.18578125,0.467578125
7087,4668.7,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,846.61328125,0.18578125,0.467578125
7088,5737.4,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.07578125,0.467578125
7089,4585.0,1.0087890625,4.2958984375e-05,32.4755859375,1.069140625,1.9880859375,4.3330078125,1063.41015625,0.18578125,0.430078125
7090,8503.2,1.0087890625,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.07578125,0.430078125
7091,9072.8,0.9130859375,4.2958984375e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.07578125,0.430078125
7092,8900.7,0.9130859375,8.6201171875e-05,32.4755859375,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.07578125,0.430078125
7093,8847.3,0.9130859375,8.6201171875e-05,24.3212890625,1.069140625,1.8400390625,3.7021484375,846.61328125,0.07578125,0.430078125
7094,10457.0,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.9880859375,3.7021484375,846.61328125,0.07578125,0.430078125
7095,6617.8,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,4.3330078125,846.61328125,0.07578125,0.430078125
7096,7460.0,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,1063.41015625,0.07578125,0.430078125
7097,5113.4,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.18578125,0.430078125
7098,8875.0,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.07578125,0.467578125
7099,8994.1,0.9130859375,8.6201171875e-05,24.3212890625,0.9128906250000001,1.8400390625,3.7021484375,846.61328125,0.07578125,0.430078125
7100,5923.2,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.267578125
7101,5737.9,1.0130859375,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.267578125
7102,5952.9,0.9087890625,4.1201171875e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.267578125
7103,5946.5,0.9087890625,8.7958984375e-05,36.8212890625,0.869140625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.267578125
7104,5841.1,0.9087890625,8.7958984375e-05,44.9755859375,1.112890625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.267578125
7105,6093.2,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.9400390625,3.8330078125,913.41015625,0.10578125,0.267578125
7106,5563.7,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,4.2021484375,913.41015625,0.10578125,0.267578125
7107,5636.4,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,996.61328125,0.10578125,0.267578125
7108,5073.6,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,913.41015625,0.15578125,0.267578125
7109,6087.0,0.9087890625,8.7958984375e-05,44.9755859375,0.869140625,1.8880859375,3.8330078125,913.41015625,0.10578125,0.23007812500000002
7110,4904.1,0.9087890625,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7111,4893.9,1.0130859375,8.7958984375e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7112,4894.5,1.0130859375,4.1201171875e-05,44.9755859375,1.112890625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7113,4902.8,1.0130859375,4.1201171875e-05,36.8212890625,0.869140625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7114,5044.8,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.8880859375,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7115,4895.2,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,3.8330078125,996.61328125,0.15578125,0.23007812500000002
7116,4937.9,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,913.41015625,0.15578125,0.23007812500000002
7117,5272.0,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,996.61328125,0.10578125,0.23007812500000002
7118,4864.9,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.267578125
7119,4895.2,1.0130859375,4.1201171875e-05,36.8212890625,1.112890625,1.9400390625,4.2021484375,996.61328125,0.15578125,0.23007812500000002
7120,4999.9,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7121,5004.5,0.8880859375,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7122,4998.6,0.9337890625,9.7451171875e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7123,5000.1,0.9337890625,5.4208984375000004e-05,33.6962890625,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7124,4994.0,0.9337890625,5.4208984375000004e-05,35.6005859375,0.962890625,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7125,4709.5,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.9650390625,3.7080078125,1025.91015625,0.16578125000000002,0.417578125
7126,4999.9,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,4.0771484375,1025.91015625,0.16578125000000002,0.417578125
