major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,CAPITAL_COST_2021_PRICES_million_USD
3.4590519850899,1.982627010755293,2.3894090224487585,5.416354678943208,4393.52
3.783482700586319,2.0149171874116645,1.2146050706037754,5.040631122887135,4573.33
3.783482700586319,1.83410967776829,2.3889536904166464,5.040631122887135,5397.74
3.783482700586319,1.83410967776829,1.5125831430896337,5.040631122887135,5130.28
3.783482700586319,1.83410967776829,1.2146050706037754,4.66230462889871,4999.55
3.9002670546469744,1.83410967776829,1.2146050706037754,5.040631122887135,5449.63
3.783482700586319,1.83410967776829,1.4224444925569462,5.040631122887135,4912.35
3.783482700586319,1.83410967776829,1.2146050706037754,4.449545562267304,4963.22
3.3708342196064223,1.9281563530180417,2.28654280050243,4.42859468325878,4143.52
3.783482700586319,1.9842615046209304,1.2146050706037754,5.040631122887135,4643.53
3.783482700586319,1.83410967776829,1.709438376370056,5.040631122887135,5126.46
3.783482700586319,1.83410967776829,1.2146050706037754,4.667048316448927,5000.12
3.865466292059864,2.086923577959343,2.3833136351421174,5.83618193899747,5307.64
3.783482700586319,1.8760867178999003,1.2146050706037754,5.040631122887135,4974.69
3.783482700586319,1.83410967776829,1.6691034799230102,5.040631122887135,5127.52
3.783482700586319,1.83410967776829,1.419619636408214,5.040631122887135,4912.35
3.783482700586319,1.83410967776829,1.2146050706037754,4.887292052624616,5005.02
3.7310890040716913,1.83410967776829,1.2146050706037754,5.040631122887135,5299.47
3.783482700586319,1.83410967776829,1.446778172429509,5.040631122887135,5184.8
3.783482700586319,1.939078520774408,1.2146050706037754,5.040631122887135,4946.07
3.783482700586319,1.83410967776829,1.6086707192616836,5.040631122887135,5128.8
3.783482700586319,1.83410967776829,2.258867067628676,5.040631122887135,4788.22
3.9124115561135113,2.212779327388569,1.9527442720755368,5.7466825023293495,4753.08
3.783482700586319,1.83410967776829,2.050702449141912,5.040631122887135,4778.41
3.949953258415917,1.83410967776829,1.2146050706037754,5.040631122887135,5604.87
3.783482700586319,1.83410967776829,2.4705840480920984,5.040631122887135,5067.48
3.783482700586319,1.83410967776829,1.2146050706037754,5.010221795528196,5229.49
3.611848391748936,2.048550447152884,1.979313449193093,5.809568778640823,4597.25
3.95843648272421,1.83410967776829,1.2146050706037754,5.040631122887135,5444.68
3.783482700586319,1.83410967776829,1.5743931160144953,5.040631122887135,5129.43
3.96510509555992,1.83410967776829,1.2146050706037754,5.040631122887135,5447.4
3.783482700586319,1.9358074853373903,1.2146050706037754,5.040631122887135,4809.07
3.783482700586319,1.83410967776829,2.2510450332444787,5.040631122887135,4787.99
3.5534538570791483,2.0050123564078346,1.927279304064416,5.578995264251716,4697.12
3.783482700586319,1.84655113706672,1.2146050706037754,5.040631122887135,5186.12
3.783482700586319,1.83410967776829,1.5074759330635863,5.040631122887135,5130.37
3.783482700586319,1.83410967776829,2.021721132153698,5.040631122887135,4856.01
3.783482700586319,1.83410967776829,1.2146050706037754,4.255503668129677,4923.61
3.963889256159746,1.83410967776829,1.2146050706037754,5.040631122887135,5446.89
3.783482700586319,1.83410967776829,1.5014661630702772,5.040631122887135,5130.43
