,m_bins,theta_bins,v0_bins,vf_bins,KE_bins
363,3,3,4,9,5
364,5,6,3,2,1
365,9,5,6,1,1
366,4,4,2,6,3
367,6,4,7,7,4
368,4,1,7,8,5
369,2,6,6,4,1
370,8,8,1,9,8
371,4,5,5,9,5
372,9,8,3,5,3
373,7,4,5,5,2
374,2,7,8,6,2
375,1,5,2,8,3
376,7,6,8,3,1
377,7,2,1,8,7
378,1,9,9,8,3
379,8,1,8,5,3
380,9,8,8,8,7
381,1,9,6,5,1
382,7,2,4,9,7
383,4,3,7,5,2
384,3,6,2,9,6
385,4,2,6,6,3
386,6,6,2,2,1
387,5,8,2,2,1
388,8,1,6,6,4
389,3,8,8,9,5
390,6,2,7,4,1
391,5,8,5,5,2
392,6,4,1,8,6
393,6,2,2,2,1
394,4,5,4,4,1
395,6,1,2,5,2
396,5,8,7,9,7
397,9,4,8,9,9
398,1,2,9,4,1
399,9,7,2,5,3
400,8,7,4,8,7
401,5,10,6,6,3
402,7,1,8,8,7
403,8,9,7,3,1
404,6,7,3,9,6
405,1,2,3,5,2
406,9,1,1,2,1
407,7,9,2,4,2
408,9,7,4,9,9
409,9,4,1,8,7
410,7,3,3,9,7
411,6,3,9,7,4
412,7,3,8,6,4
413,7,5,5,7,4
414,5,9,4,9,5
415,3,3,5,7,3
416,6,7,8,8,6
417,8,8,2,9,8
418,4,3,8,9,5
419,2,3,1,8,4
420,2,3,7,8,4
421,6,9,6,1,1
422,1,3,2,7,2
423,5,6,6,5,2
424,9,2,8,3,1
425,7,1,3,1,1
426,9,9,4,8,6
427,6,8,3,4,2
428,8,5,8,6,4
429,9,2,4,2,1
430,9,6,3,8,7
431,8,5,8,9,9
432,4,2,2,5,2
433,1,2,8,1,1
434,9,1,5,3,1
435,3,1,5,5,2
436,4,2,1,2,1
437,4,1,7,8,5
438,2,5,6,9,5
439,3,9,3,7,3
440,4,1,4,4,2
441,1,5,9,9,4
442,7,6,7,8,7
443,2,7,9,8,4
444,9,8,6,5,3
445,5,9,5,8,5
446,8,7,7,3,1
447,4,1,4,7,3
448,6,2,9,1,1
449,4,5,9,9,6
450,3,6,9,9,5
451,5,8,7,8,6
452,8,7,3,7,4
453,2,2,2,2,1
454,6,9,2,2,1
455,1,8,1,9,3
456,7,7,6,8,6
457,5,7,7,6,3
458,9,9,7,7,5
459,2,7,1,3,1
460,5,5,4,8,5
461,1,4,2,8,3
462,1,5,7,7,2
463,4,1,2,6,3
464,5,6,6,8,5
465,3,1,2,6,3
466,7,2,6,5,3
467,2,7,3,6,2
468,5,8,6,8,5
469,9,7,5,9,8
470,4,1,1,6,3
471,6,1,9,2,1
472,4,8,5,7,4
473,8,6,8,1,1
474,6,9,1,8,5
475,3,8,1,6,2
476,4,3,7,5,2
477,2,6,7,4,1
478,2,6,2,3,1
479,2,4,6,8,3
480,7,4,5,8,6
481,7,5,7,3,1
482,2,9,1,4,1
483,6,8,2,4,2
484,2,4,5,9,4
485,6,3,7,8,6
486,5,4,2,7,4
487,4,2,7,8,5
488,9,5,2,9,8
489,7,7,5,5,2
490,9,1,6,5,2
491,6,5,5,6,3
492,7,6,8,8,7
493,4,2,3,9,6
494,5,6,6,7,4
495,4,2,3,5,2
496,8,5,1,5,2
497,9,6,6,8,6
498,1,9,2,8,3
499,5,4,1,9,6
